
air_quality,air_quality_raw,comfort,humidity,light,light_digital,light_raw,noise,noise_db,temperature,timestamp,people,occupancy_status
bom,263,bom,33.0,bom,0,155,baixo,31.54658,21.6,2026-05-16 10:44:04,0,
bom,155,bom,33.0,bom,0,158,baixo,34.10766,21.6,2026-05-16 10:44:38,0,
bom,91,bom,33.0,bom,0,149,baixo,31.08603,21.6,2026-05-16 10:45:09,0,
bom,85,bom,33.0,bom,0,163,baixo,31.78016,21.6,2026-05-16 10:45:39,0,
bom,123,bom,33.0,bom,0,148,baixo,31.99269,21.6,2026-05-16 10:46:09,0,
bom,141,bom,33.0,bom,0,0,baixo,32.92994,21.6,2026-05-16 10:46:39,0,
bom,124,bom,34.0,bom,0,141,baixo,31.47663,21.6,2026-05-16 10:47:09,0,
bom,99,bom,33.0,bom,0,168,baixo,33.56776,21.6,2026-05-16 10:47:39,0,
bom,122,bom,34.0,bom,0,155,baixo,32.25828,21.6,2026-05-16 10:48:09,0,
bom,102,bom,34.0,bom,0,147,baixo,31.20864,21.6,2026-05-16 10:48:39,0,
bom,99,bom,34.0,bom,0,143,baixo,28.82731,21.6,2026-05-16 10:49:09,0,
bom,106,bom,34.0,bom,0,149,baixo,30.49608,21.6,2026-05-16 10:49:39,0,
bom,77,bom,34.0,bom,0,153,baixo,32.77269,21.6,2026-05-16 10:50:09,0,
bom,143,bom,34.0,bom,0,149,baixo,31.97764,21.6,2026-05-16 10:50:39,0,
bom,109,bom,34.0,bom,0,149,baixo,33.15713,21.6,2026-05-16 10:51:09,0,
bom,120,bom,34.0,bom,0,151,baixo,30.77651,21.6,2026-05-16 10:51:39,0,
bom,89,bom,34.0,bom,0,156,baixo,31.65545,21.6,2026-05-16 10:52:09,0,
bom,121,bom,34.0,bom,0,215,baixo,32.049,21.6,2026-05-16 10:52:39,0,
bom,105,bom,34.0,bom,0,156,baixo,32.86029,21.6,2026-05-16 10:53:09,0,
bom,117,bom,34.0,bom,0,156,baixo,31.2032,21.6,2026-05-16 10:53:39,0,
bom,137,bom,34.0,bom,0,148,baixo,30.82557,21.7,2026-05-16 10:54:09,0,
